,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185
179,0.58845,0.23049,-0.26685,-1.0356,0.62524,0.38748,0.52659,0.087525,-0.7783,-0.60843,0.56065,0.13998,0.54836,0.15769,-1.121,0.32177,0.59721,0.15275,0.28709,0.083685,-0.33287,-0.23466,0.30877,0.11102,0.44093,0.15528,-0.69304,-0.93055,0.50191,0.27625,0.39011,0.10805,-0.75773,0.0088141,0.41904,0.11612,0.47841,0.20825,-0.51455,-1.3417,0.56065,0.414,0.36874,0.13885,-0.16303,-0.1392,0.41523,0.21494,0.33352,0.11461,1.2129,3.3939,0.32852,0.087458,0.32213,0.094203,0.60789,1.7244,0.3216,0.071812,0.26458,0.058934,0.37142,1.6836,0.26807,0.077365,0.4863,0.16077,-0.67425,-0.93147,0.54944,0.29001,0.27624,0.085145,0.94345,1.568,0.27376,0.087037,0.39147,0.1512,0.31368,-0.52115,0.38445,0.24029,0.34765,0.16339,0.68037,-0.79326,0.28918,0.27455,0.27806,0.067135,0.5667,1.5446,0.27951,0.077274,0.26665,0.080783,1.0362,4.2796,0.27376,0.089703,0.27295,0.10482,0.68652,0.11866,0.26524,0.1558,0.24848,0.11356,1.1106,0.72515,0.21651,0.17638,0.31204,0.15817,1.582,2.5466,0.28433,0.16546,0.44138,0.24749,0.37745,-1.1657,0.41141,0.42784,0.42277,0.17907,-0.46601,-1.2949,0.48633,0.35465,0.27728,0.10526,0.67527,0.21778,0.27091,0.15317,0.33143,0.15038,1.0399,0.46367,0.30385,0.16252,0.16371,0.030899,3.1003,17.98,0.15485,0.035698,0.19749,0.054719,2.5944,13.666,0.18952,0.063671,0.20166,0.10642,2.1925,3.445,0.16093,0.047092,0.17319,0.063043,3.1199,10.829,0.14782,0.034619,0.3183,0.11885,-0.21792,-1.1095,0.35318,0.22884,0.37484,0.13656,-0.15976,-0.35634,0.4047,0.19137,0.20577,0.096109,1.6002,1.2733,0.16136,0.070081
180,0.59569,0.24398,-0.45132,-1.0758,0.66047,0.41977,0.53219,0.088455,-0.74218,-0.77225,0.56692,0.14788,0.48537,0.14138,-0.66745,-0.34891,0.51739,0.15178,0.26254,0.060104,0.32471,1.6625,0.26243,0.063852,0.36194,0.10104,0.0022931,0.12352,0.37764,0.1451,0.36284,0.10897,-0.08536,-0.60664,0.37959,0.17646,0.50677,0.20238,-0.68509,-1.2198,0.61052,0.39903,0.3363,0.10173,-0.082468,0.175,0.35907,0.1563,0.28143,0.098103,2.2656,7.2261,0.26243,0.074641,0.27208,0.079064,1.5616,3.8599,0.25871,0.069308,0.26065,0.057926,0.22766,0.96136,0.26337,0.07669,0.40154,0.11972,-0.074021,0.1061,0.42758,0.17296,0.27163,0.076663,1.3352,3.3376,0.2643,0.082753,0.4034,0.16372,0.46381,-0.7363,0.3718,0.25541,0.34019,0.1319,0.8224,-0.040714,0.30779,0.16818,0.27153,0.066669,0.74143,2.7405,0.27186,0.081779,0.26501,0.0794,1.6268,5.0076,0.26057,0.087286,0.22498,0.060597,0.68944,0.91872,0.22127,0.08612,0.22505,0.079052,2.0176,6.2932,0.21418,0.089474,0.22248,0.0879,3.6206,19.352,0.20886,0.08164,0.40974,0.23291,0.59111,-0.9759,0.3453,0.38848,0.34904,0.13456,-0.10511,-1.2454,0.36495,0.25159,0.21976,0.066685,1.6602,6.048,0.21188,0.084792,0.24302,0.11064,2.5733,7.3404,0.22047,0.086873,0.16469,0.027842,2.3146,10.86,0.158,0.037345,0.20509,0.067492,2.8237,11.658,0.1934,0.068992,0.17563,0.071192,3.7014,13.512,0.15601,0.034085,0.16251,0.045776,5.1089,33.663,0.1475,0.027493,0.33565,0.12156,-0.44446,-1.1048,0.37862,0.23484,0.32073,0.11247,0.35513,0.20544,0.32852,0.15191,0.18994,0.081535,2.1904,4.0008,0.1576,0.046115
181,0.65459,0.18018,-0.86684,0.49253,0.68395,0.19374,0.57325,0.07821,-1.5308,1.4986,0.59988,0.054217,0.57978,0.10325,-1.3394,2.7362,0.60697,0.13014,0.26873,0.057746,-0.48677,1.1548,0.27663,0.054127,0.37266,0.096147,-0.5604,0.42186,0.38348,0.11811,0.36697,0.10223,0.074818,-0.056919,0.36495,0.14482,0.5516,0.17925,-1.2969,0.3439,0.62202,0.16375,0.34136,0.098721,-0.025567,1.5743,0.35318,0.10188,0.31014,0.11626,2.1205,5.256,0.2853,0.0619,0.28462,0.076429,1.6949,5.4523,0.27663,0.051569,0.2595,0.047775,-0.092204,1.3836,0.26337,0.058129,0.40525,0.093817,-0.22436,1.2853,0.41523,0.10797,0.27322,0.068879,1.2954,3.5737,0.26807,0.065129,0.4783,0.16928,-0.098583,-1.1336,0.4762,0.29412,0.38283,0.14614,0.52908,-0.87118,0.33049,0.24289,0.27153,0.056283,0.78895,3.4154,0.27091,0.060147,0.27261,0.068421,2.1211,9.8408,0.27091,0.061891,0.20283,0.061174,0.92658,1.0854,0.1934,0.10546,0.21109,0.076793,2.0688,7.3005,0.19949,0.112,0.20589,0.09618,3.9532,20.694,0.18517,0.096022,0.49178,0.26541,0.13728,-1.4882,0.45578,0.51911,0.33797,0.13127,-0.049017,-1.0675,0.34629,0.22996,0.20548,0.072853,2.0419,7.1746,0.19079,0.10302,0.23515,0.11738,2.4108,6.2317,0.21112,0.11415,0.16014,0.028043,3.3729,20.95,0.15084,0.031475,0.19316,0.05888,3.0393,15.201,0.18219,0.060787,0.17673,0.078949,3.4125,10.991,0.15154,0.032508,0.16149,0.045082,4.5453,27.518,0.14054,0.025591,0.39131,0.10926,-1.0755,0.50476,0.42474,0.083936,0.35831,0.097304,0.076087,1.2865,0.36201,0.093879,0.22571,0.11383,1.2539,0.13922,0.16729,0.14396
182,0.65016,0.21527,-0.71598,-0.48322,0.70548,0.27789,0.58141,0.090153,-1.3307,0.64294,0.61494,0.073667,0.57357,0.10894,-1.6336,3.8781,0.59632,0.1061,0.29342,0.068341,-0.52011,3.2411,0.31074,0.053951,0.40353,0.11085,-0.60834,0.091984,0.41713,0.14083,0.38832,0.10337,-0.19221,0.091845,0.38929,0.1368,0.56954,0.18919,-1.1849,0.085121,0.64849,0.20922,0.34445,0.10979,-0.13249,0.37252,0.35809,0.11819,0.32299,0.11437,1.8425,5.489,0.3137,0.054102,0.31634,0.07869,0.97342,3.1004,0.31173,0.047225,0.26394,0.053093,-0.10735,2.4948,0.27186,0.062524,0.43699,0.12894,-0.32133,-0.41162,0.4483,0.186,0.277,0.075005,1.2186,2.7635,0.26901,0.064604,0.45005,0.15587,-0.16225,-0.87499,0.45391,0.24468,0.38131,0.15097,0.46894,-0.68491,0.34431,0.24402,0.27745,0.057944,0.3707,2.3966,0.28047,0.060924,0.26491,0.06821,1.4916,7.5091,0.26901,0.062156,0.21448,0.060847,0.8642,2.1782,0.21112,0.096706,0.22192,0.080475,2.0992,7.6037,0.21341,0.1051,0.24105,0.1177,3.181,12.052,0.22289,0.097256,0.53173,0.23648,-0.24859,-1.1785,0.56334,0.39793,0.37834,0.16211,-0.073715,-1.3493,0.38153,0.30481,0.2261,0.074113,1.4212,4.3427,0.21967,0.10266,0.25202,0.12733,2.1749,4.4595,0.22452,0.10149,0.17284,0.039018,3.279,20.868,0.16494,0.048083,0.21269,0.072373,2.7115,12.277,0.20089,0.078409,0.18808,0.085243,2.7739,6.9384,0.1605,0.044289,0.16189,0.045627,4.784,32.167,0.14028,0.027978,0.38153,0.13191,-0.56563,-0.82203,0.43042,0.2024,0.35631,0.10509,0.35494,1.0081,0.36201,0.11544,0.23115,0.10871,1.2592,0.36598,0.18161,0.13252
183,0.58195,0.2413,-0.21781,-1.329,0.64481,0.44423,0.54625,0.098486,-0.37448,-1.2956,0.58921,0.1798,0.55898,0.13147,-1.0965,0.70051,0.59277,0.12774,0.28937,0.08678,-0.29343,-0.6152,0.31765,0.14032,0.39117,0.12187,-0.0472,-0.59366,0.41523,0.20034,0.39361,0.13852,-0.30474,-0.7474,0.41808,0.21412,0.46916,0.24225,-0.16472,-1.7162,0.5472,0.49245,0.347,0.13834,-0.091362,-1.0669,0.39122,0.25213,0.39772,0.15498,0.98507,0.41454,0.35514,0.13844,0.31659,0.10894,0.76442,1.5723,0.32358,0.10672,0.23893,0.072623,0.2122,-0.45598,0.24508,0.12432,0.39271,0.14739,-0.11804,-0.74093,0.42947,0.2357,0.26024,0.097348,1.1695,1.7938,0.25228,0.11306,0.42226,0.20127,0.12,-1.3599,0.39701,0.37694,0.38803,0.18632,0.19612,-1.2726,0.35907,0.34884,0.2977,0.091162,0.43304,0.42538,0.29503,0.1076,0.28851,0.12037,1.2497,1.3859,0.27471,0.10995,0.18508,0.050427,1.7788,5.9523,0.17279,0.073126,0.22204,0.12345,1.9442,2.5742,0.17652,0.086713,0.20058,0.1268,3.8525,14.875,0.16402,0.063454,0.38696,0.26714,0.56988,-1.3693,0.23978,0.53481,0.28616,0.13121,0.37268,-1.0432,0.28336,0.25205,0.1924,0.073197,2.8146,9.6391,0.17279,0.071596,0.21746,0.12028,2.4954,5.4402,0.18103,0.084242,0.17582,0.041828,3.114,19.526,0.16729,0.054445,0.22903,0.087593,1.9562,5.587,0.21036,0.09609,0.19897,0.10859,2.4945,4.8755,0.16093,0.046115,0.17944,0.08952,3.1529,9.3921,0.14054,0.031989,0.36606,0.16031,-0.16888,-1.4084,0.42758,0.30636,0.31553,0.13193,0.92467,0.10661,0.28627,0.15505,0.26682,0.13998,0.75605,-0.9237,0.18701,0.2559
184,0.72908,0.2021,-1.1288,0.46378,0.78669,0.20646,0.57479,0.074873,-1.5649,1.4998,0.59988,0.046194,0.55828,0.087071,-0.88667,2.9152,0.56065,0.090514,0.30002,0.065462,-1.0376,0.77432,0.31666,0.051158,0.42892,0.10536,-0.74527,0.61376,0.45298,0.10815,0.42485,0.094538,-0.34814,0.42833,0.42758,0.12395,0.57517,0.19236,-1.351,0.3082,0.65993,0.14864,0.38835,0.1126,-0.41857,1.0339,0.41332,0.10938,0.33123,0.094584,1.5934,5.7307,0.32259,0.056192,0.33195,0.090926,1.4272,3.6519,0.31962,0.049301,0.26431,0.057625,-0.38917,0.41511,0.27376,0.070979,0.44427,0.10951,-0.78849,0.93485,0.46972,0.11203,0.27711,0.079025,1.4517,3.405,0.26996,0.066447,0.50561,0.18184,-0.23118,-0.97411,0.51375,0.30435,0.44369,0.17017,-0.21601,-1.2757,0.47018,0.30866,0.27061,0.060042,-0.13287,1.4558,0.27855,0.069867,0.27053,0.062763,-0.20264,1.1908,0.28047,0.069979,0.2762,0.085328,-0.1457,-1.0091,0.28724,0.13815,0.26931,0.087205,0.0072625,-0.94927,0.27855,0.14532,0.29099,0.11448,1.6208,5.0811,0.28918,0.13288,0.53238,0.22554,-0.56936,-1.0072,0.5812,0.36058,0.36693,0.11732,-0.73668,-0.47862,0.39894,0.14415,0.27394,0.085762,-0.071399,-0.85941,0.28433,0.13735,0.31126,0.11098,0.8085,0.7442,0.30582,0.12755,0.17704,0.033514,1.1858,3.3001,0.17227,0.051561,0.20258,0.046345,1.3624,5.4913,0.1988,0.059911,0.19433,0.10061,2.6446,5.6918,0.16136,0.044633,0.16949,0.067982,4.0758,18.291,0.14028,0.031989,0.27484,0.079323,0.52472,0.48341,0.27186,0.1047,0.29988,0.088784,1.039,2.6059,0.29308,0.10003,0.23493,0.10143,0.82393,-0.74701,0.18578,0.17574
185,0.45426,0.20104,0.34713,-1.0971,0.43836,0.35714,0.56175,0.10902,-0.069611,-1.6376,0.57585,0.21322,0.61135,0.097882,-1.1801,2.2134,0.62025,0.12027,0.23659,0.069728,0.55488,0.18595,0.23803,0.10587,0.38919,0.15098,0.13703,-0.81642,0.40422,0.26022,0.37697,0.14419,0.5559,-0.59313,0.33543,0.20708,0.43906,0.25652,-0.037655,-1.8489,0.52192,0.53105,0.30406,0.15562,1.2523,1.6616,0.29113,0.21421,0.34285,0.14751,1.0616,0.95573,0.30385,0.17859,0.36507,0.16124,0.77505,-0.82655,0.28821,0.26963,0.24217,0.061246,0.52739,1.1947,0.2433,0.079317,0.40612,0.13087,0.26078,0.18009,0.41808,0.1853,0.29818,0.13554,0.71417,-0.62957,0.26524,0.18225,0.47395,0.21015,0.024994,-1.4249,0.46787,0.38193,0.42501,0.18917,0.014091,-1.4546,0.44642,0.3548,0.25611,0.067542,0.68209,1.9051,0.25502,0.080438,0.25117,0.087235,1.3881,4.3586,0.25228,0.1074,0.18167,0.050418,1.833,5.4892,0.16634,0.067837,0.18111,0.071015,3.3052,13.383,0.15262,0.057145,0.2897,0.22284,1.4948,0.57397,0.18457,0.15377,0.41713,0.26819,0.25011,-1.7353,0.30976,0.58978,0.25266,0.12983,1.1796,0.66605,0.20518,0.19021,0.18137,0.058163,2.8287,12.435,0.16268,0.062024,0.31639,0.18817,0.75924,-1.1921,0.21967,0.38544,0.17975,0.040581,2.0541,10.073,0.17305,0.058328,0.20655,0.081503,3.2369,14.024,0.19015,0.070546,0.30786,0.17336,0.54597,-1.5293,0.20373,0.35472,0.19981,0.10436,2.1859,3.9205,0.15154,0.059909,0.30464,0.13401,0.62422,-0.42469,0.29894,0.20339,0.35323,0.13853,0.4194,0.082833,0.35907,0.18379,0.26312,0.13677,0.80358,-0.86304,0.19472,0.25238
186,0.70377,0.19503,-0.97567,0.23096,0.75147,0.21722,0.56814,0.077497,-1.4346,1.1253,0.59455,0.050708,0.52586,0.09835,-0.97569,2.21,0.54,0.092308,0.32552,0.0718,-0.7654,3.2811,0.3453,0.047305,0.40132,0.093918,-0.61585,1.386,0.41523,0.083893,0.40271,0.094383,-0.063787,1.5155,0.40086,0.10151,0.53721,0.16648,-1.2705,0.27746,0.60254,0.14658,0.38566,0.10434,-0.43804,1.8524,0.41045,0.066241,0.35407,0.093136,1.4203,5.8141,0.35121,0.048183,0.35057,0.083717,1.1308,4.8591,0.34826,0.043304,0.28375,0.05895,0.25292,6.8771,0.29503,0.057082,0.419,0.10253,-0.50295,1.1481,0.4342,0.10777,0.29382,0.066468,0.65161,4.337,0.29601,0.054478,0.47269,0.1643,-0.20629,-1.0499,0.48081,0.27771,0.43024,0.15024,-0.067694,-1.0742,0.42663,0.25528,0.29131,0.057191,0.15379,5.8949,0.29894,0.053577,0.2957,0.072571,1.2699,7.5185,0.30189,0.056583,0.21439,0.059745,1.4252,7.5889,0.21341,0.088255,0.21856,0.077506,2.5042,10.306,0.21188,0.090921,0.2267,0.10523,3.57,15.702,0.21112,0.083652,0.51505,0.24164,-0.15846,-1.4529,0.5409,0.46748,0.33333,0.1142,-0.17135,-0.85629,0.3453,0.18072,0.21658,0.062067,1.6458,7.3973,0.21418,0.083045,0.25267,0.11774,2.469,6.2878,0.23202,0.084224,0.16665,0.031877,4.5443,44.211,0.1605,0.038846,0.19473,0.056796,3.2658,16.628,0.18578,0.054168,0.18468,0.074379,2.8019,7.2384,0.1618,0.038058,0.16416,0.059182,4.3737,21.062,0.14028,0.024201,0.33634,0.094751,-0.49412,0.034134,0.35318,0.099032,0.32419,0.084275,0.89404,2.6904,0.31962,0.078585,0.23796,0.11556,1.0613,-0.33651,0.17931,0.17175
187,0.51585,0.2358,0.36724,-1.1115,0.44227,0.4002,0.51428,0.10406,0.14927,-1.2655,0.48357,0.19172,0.47801,0.16679,-0.45981,-0.95004,0.50008,0.25853,0.22815,0.082694,0.68227,-0.2117,0.19674,0.14694,0.33851,0.16355,0.32948,-1.427,0.27759,0.32186,0.33042,0.15239,0.32031,-0.94142,0.34924,0.26382,0.34373,0.2282,0.56321,-1.4891,0.1988,0.46454,0.25933,0.11949,0.73799,-0.31998,0.19949,0.22415,0.30812,0.16731,1.3793,1.3416,0.28143,0.1779,0.29313,0.146,1.077,0.37178,0.27567,0.1774,0.21563,0.067915,0.92971,1.3922,0.20159,0.11171,0.34914,0.16956,0.35067,-1.3278,0.28047,0.32717,0.24241,0.10455,1.4054,1.7299,0.21418,0.13105,0.29444,0.14725,1.0636,0.43064,0.24956,0.19863,0.26942,0.13673,1.5051,1.8606,0.22452,0.1479,0.2275,0.075155,0.81191,0.83294,0.21729,0.12165,0.25718,0.12038,1.4983,1.8646,0.22949,0.13162,0.17204,0.040229,2.7997,16.283,0.1605,0.049875,0.21433,0.12256,1.9767,2.5355,0.16402,0.06636,0.2267,0.17122,2.6002,5.3505,0.1654,0.062737,0.22264,0.13387,2.0081,3.0227,0.16312,0.088377,0.25925,0.14347,0.76353,-1.1117,0.17175,0.28541,0.18048,0.065679,3.4994,14.624,0.16136,0.052462,0.23654,0.15113,1.7916,1.5827,0.17436,0.074744,0.16703,0.033398,3.9167,32.638,0.15966,0.040746,0.19548,0.077524,3.2521,12.212,0.17598,0.0558,0.21974,0.12559,1.692,1.1901,0.16448,0.048487,0.17735,0.078481,3.4908,11.903,0.15372,0.03303,0.28416,0.15265,0.56486,-1.4202,0.18952,0.30541,0.30858,0.14018,0.78321,-0.061124,0.2921,0.2073,0.19893,0.097637,2.2214,4.039,0.16136,0.049875
188,0.58061,0.19553,-0.37502,-0.45334,0.6047,0.24168,0.56932,0.076955,-1.0681,0.24628,0.59455,0.084729,0.56216,0.10932,-1.374,2.4655,0.57585,0.11612,0.28319,0.068551,0.056941,0.44409,0.2824,0.080573,0.49558,0.10847,-0.33454,1.0511,0.51102,0.10245,0.36336,0.087793,-0.30582,0.94095,0.37764,0.089742,0.51619,0.18541,-0.91843,-0.57828,0.58743,0.24172,0.33909,0.087771,-0.62418,0.74588,0.36103,0.078529,0.32702,0.12968,1.731,3.1146,0.29308,0.10384,0.29952,0.082883,1.1574,2.3602,0.28627,0.086858,0.28141,0.056458,0.35174,0.92925,0.27951,0.069612,0.52332,0.10734,-0.61251,0.73424,0.54989,0.11586,0.29449,0.070319,0.83601,1.6777,0.28821,0.086685,0.41346,0.13321,0.41065,-0.5735,0.38638,0.20649,0.3614,0.12171,0.61353,-0.46613,0.32456,0.19049,0.30564,0.064573,0.54994,0.89818,0.29992,0.078041,0.29456,0.076811,1.3545,3.3469,0.28433,0.077792,0.20053,0.047984,0.9622,1.7381,0.19472,0.067258,0.21175,0.075596,2.1637,5.9342,0.19607,0.076646,0.20581,0.09008,4.1048,20.332,0.18826,0.067304,0.34564,0.18937,0.64975,-0.90857,0.27951,0.3202,0.37242,0.12566,-0.59959,-0.93251,0.41045,0.19288,0.20144,0.05861,2.0162,6.8438,0.19079,0.068171,0.22214,0.099523,2.8668,8.793,0.19949,0.071694,0.17153,0.031604,1.7798,7.8997,0.1654,0.04737,0.2044,0.076035,3.6836,16.365,0.19209,0.056447,0.18724,0.076248,3.0459,9.1983,0.16587,0.04637,0.1613,0.035577,4.5183,34.536,0.14655,0.032508,0.2765,0.073275,-0.29558,-0.66915,0.29015,0.10742,0.40737,0.12686,0.16186,0.049163,0.41236,0.16006,0.20826,0.085644,1.5862,1.5519,0.17544,0.073455
